      Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
1999   0.16  -0.12   0.69   0.30  -0.15   0.30  -0.54   1.97   0.44   0.41   0.48   0.21
2000  -0.82   1.12   1.28  -0.35  -0.28  -1.22  -2.28  -0.48  -1.40   0.25   0.74   1.23
2001   1.51  -0.16   0.70  -0.47  -0.11  -0.94   0.06  -0.11   0.10  -0.22   1.09   0.56
2002  -0.04   0.14  -1.30  -2.22  -0.73  -0.05   0.88   0.64   0.77  -0.65   1.54   1.59
2003   1.29   0.73  -0.07   0.14  -2.20  -0.60   1.23  -0.28   0.76   0.97  -1.72   0.86
2004   0.41   1.06   0.30   0.51  -1.76  -0.37   0.09   1.55  -0.08  -1.39   0.31   0.26
2005   0.02   0.14   0.88   1.28   1.74   0.29   0.43   0.72   1.63   0.90  -0.76   1.38
2006   0.43  -0.11  -0.27   0.45  -1.27  -1.06   1.83  -1.41   0.42  -0.84  -1.39   1.86
2007   0.72  -0.09   0.18   1.25  -0.06  -0.38   2.21   1.98   1.88   0.55   0.69   0.14
2008  -0.32   0.50  -0.32  -0.97   1.33  -1.75  -0.10   0.92   1.12   0.86   1.11  -1.41
2009   0.61  -0.95  -1.02   0.21  -0.58   0.35   1.22   0.65   1.29   0.43   0.21   0.34
2010   1.25   0.58   2.02   1.54  -0.93  -0.20   1.40   1.10   1.34   1.80  -0.84  -1.78
2011   1.29  -1.58   0.69  -1.59   0.19   0.22  -0.35   1.42  -0.42   0.63  -0.79   0.36
2012   0.60   0.75   0.11   0.15  -0.42  -0.50  -0.16  -0.17  -0.42  -1.18  -1.10  -1.01
2013   0.55   0.45   0.04  -1.56  -0.36  -0.43  -0.31  -0.03   0.54  -0.34  -1.18  -0.86
2014   0.97  -0.95  -0.21   0.25  -0.76  -1.46   0.99   1.37   0.99   0.89   0.68   0.67
2015   0.61   0.59  -0.23  -0.15  -0.16  -0.17   0.76   0.08  -0.92   1.78  -0.19   0.78
2016   2.02   1.48   0.73   0.87  -1.06  -0.70   1.02  -0.88   0.18   1.24   1.52  -0.35
2017   0.28   0.18   0.27   0.40  -0.31   1.01   1.86   0.23  -0.33  -0.40  -2.06   0.89
2018   0.40  -1.03  -0.89  -0.91  -1.34   0.51  -0.37   1.27   1.44   0.21   0.24   0.86
2019   0.83  -1.08   0.25  -0.61  -0.29   0.12   1.11   1.18   2.00  -1.02  -0.06   0.18
2020  -0.24   0.17  -2.17  -1.18   0.21   0.70   1.73   1.82   0.75  -1.13   0.24   1.58
2021   0.19  -0.31  -0.97  -1.05  -1.35   0.67   0.56   0.95   0.44   1.13   0.72  -2.56
2022   1.01   0.66   0.13  -0.74  -0.83  -0.31   2.54   0.79   0.21   0.17  -0.73  -0.66
2023   0.21  -0.64  -1.63  -0.42  -0.86   0.69   1.15   0.45   1.06   1.20
