stationTriplet,actonId,beginDate,countyName,elevation,endDate,fipsCountryCd,fipsCountyCd,fipsStateNumber,huc,hud,latitude,longitude,name,shefId,stationDataTimeZone,stationTimeZone
313:MT:SNTL,13C44S,1977-08-01 00:00:00,Deer Lodge,8250.00,2100-01-01 00:00:00,US,023,30,170102010304,17010201,46.09713,-113.13038,Barker Lakes,BRLM8,-8.0,
314:WY:SNTL,10F02S,1979-10-01 00:00:00,Teton,7060.00,2100-01-01 00:00:00,US,039,56,170401010304,17040101,43.94019,-110.44544,Base Camp,BSCW4,-8.0,
315:MT:SNTL,12D09S,1976-10-01 00:00:00,Silver Bow,7180.00,2100-01-01 00:00:00,US,093,30,170102010201,10020005,45.79737,-112.52047,Basin Creek,BSCM8,-8.0,
1190:MT:SNTL,14B03S,2011-10-12 00:00:00,Sanders,5150.00,2100-01-01 00:00:00,US,089,30,170102120105,17010212,47.85562,-114.75841,Bassoo Peak,BASM8,-8.0,
316:NM:SNTL,06N04S,1978-10-01 00:00:00,Rio Arriba,9249.00,2100-01-01 00:00:00,US,039,35,130201020901,13020102,36.51174,-106.31543,Bateman,BAMN5,-8.0,
317:WY:SNTL,07H04S,1985-10-01 00:00:00,Carbon,7498.00,2100-01-01 00:00:00,US,007,56,140500030109,14050003,41.05402,-107.26674,Battle Mountain,BTLW4,-8.0,
318:MT:SNTL,12E08S,1976-10-01 00:00:00,Beaverhead,8850.00,2100-01-01 00:00:00,US,001,30,100200010501,10020001,44.47147,-112.98191,Beagle Springs,BEAM8,-8.0,
319:ID:SNTL,16E11S,1979-10-01 00:00:00,Adams,5350.00,2100-01-01 00:00:00,US,003,16,170602100104,17060210,44.95222,-116.14293,Bear Basin,BRBI1,-8.0,
320:ID:SNTL,13F03S,1979-10-01 00:00:00,Custer,7900.00,2100-01-01 00:00:00,US,037,16,170402180101,17040218,43.74367,-113.93797,Bear Canyon,BECI1,-8.0,
321:NV:SNTL,15H01S,1976-03-01 00:00:00,Elko,8040.00,2100-01-01 00:00:00,US,007,32,170501020301,17050102,41.83384,-115.45278,Bear Creek,BERN2,-8.0,
1166:OR:SNTL,22E10S,2011-07-18 00:00:00,Linn,4720.00,2100-01-01 00:00:00,US,043,41,170900040203,17090004,44.32530,-122.09380,Bear Grass,BKSO3,-8.0,
322:CO:SNTL,05J39S,1979-10-01 00:00:00,Larimer,9522.00,2100-01-01 00:00:00,US,069,08,101900060201,10190006,40.31176,-105.64670,Bear Lake,BLKC2,-8.0,
323:ID:SNTL,16A08S,1979-10-01 00:00:00,Bonner,5400.00,2100-01-01 00:00:00,US,017,16,170102131202,17010213,48.30577,-116.07448,Bear Mountain,BRMI1,-8.0,
1061:CO:SNTL,07J03S,2004-10-01 00:00:00,Routt,9112.00,2100-01-01 00:00:00,US,107,08,140500010102,14050001,40.06152,-107.00948,Bear River,BRRC2,-8.0,
992:UT:SNTL,10J17S,2010-10-28 00:00:00,Summit,8777.00,2100-01-01 00:00:00,US,043,49,160101010106,16010101,40.88520,-110.82770,Bear River RS,STLU1,-8.0,
324:ID:SNTL,16E10S,1979-10-01 00:00:00,Washington,6180.00,2100-01-01 00:00:00,US,087,16,170501241001,17050201,44.60533,-116.98097,Bear Saddle,BSDI1,-8.0,
325:WY:SNTL,07F01S,1979-10-01 00:00:00,Johnson,8200.00,2100-01-01 00:00:00,US,019,56,100902010205,10090201,43.88743,-107.06135,Bear Trap Meadow,BTNW4,-8.0,
326:WY:SNTL,09E10S,1979-10-01 00:00:00,Park,9360.00,2100-01-01 00:00:00,US,029,56,100700060206,10070006,44.94307,-109.56743,Beartooth Lake,BLTW4,-8.0,
327:CO:SNTL,07M32S,1979-10-01 00:00:00,San Juan,11600.00,2100-01-01 00:00:00,US,111,08,130100010104,13010001,37.71433,-107.51240,Beartown,BRTC2,-8.0,
1041:CO:SNTL,06K45S,2002-11-01 00:00:00,Eagle,8565.00,2100-01-01 00:00:00,US,037,08,140100030301,14010003,39.59871,-106.51113,Beaver Ck Village,BCVC2,-8.0,
328:MT:SNTL,11E38S,1966-10-01 00:00:00,Gallatin,7850.00,2100-01-01 00:00:00,US,031,30,100200070402,10020007,44.94966,-111.35852,Beaver Creek,BEVM8,-8.0,
329:UT:SNTL,11K13S,1980-06-18 00:00:00,Sanpete,7990.00,2100-01-01 00:00:00,US,039,49,160300040402,16030004,39.13683,-111.55813,Beaver Dams,BVDU1,-8.0,
330:UT:SNTL,11J46S,1978-10-01 00:00:00,Summit,8280.00,2100-01-01 00:00:00,US,043,49,160202030105,16020203,40.61233,-111.09782,Beaver Divide,NWZU1,-8.0,
902:AZ:SNTL,09S06S,1993-10-01 00:00:00,Greenlee,8076.00,2100-01-01 00:00:00,US,011,04,150601010107,15040004,33.69115,-109.21685,Beaver Head,XBHA3,-8.0,
990:WA:SNTL,21A01S,2000-10-01 00:00:00,Whatcom,3630.00,2100-01-01 00:00:00,US,073,53,171100050605,17110005,48.87930,-121.25550,Beaver Pass,BVPW1,-8.0,
331:OR:SNTL,18D09S,1979-10-01 00:00:00,Union,5150.00,2100-01-01 00:00:00,US,061,41,170601040301,17060104,45.14532,-118.21900,Beaver Reservoir,BVRO3,-8.0,
1143:AZ:SNTL,09N05S,2009-10-01 00:00:00,Apache,9255.00,2100-01-01 00:00:00,US,001,04,140802040401,14080204,36.32671,-109.05702,Beaver Spring,BVRA3,-8.0,
332:UT:SNTL,11H08S,1978-10-01 00:00:00,Weber,7689.00,2100-01-01 00:00:00,US,057,49,160201020302,16020102,41.37603,-111.94405,Ben Lomond Peak,BLPU1,-8.0,
333:UT:SNTL,11H30S,1980-06-03 00:00:00,Weber,5972.00,2100-01-01 00:00:00,US,057,49,160201020302,16020102,41.38291,-111.92103,Ben Lomond Trail,BLTU1,-8.0,
334:NV:SNTL,14K02S,1980-10-01 00:00:00,White Pine,9377.00,2100-01-01 00:00:00,US,033,32,160600081301,16060008,39.31917,-114.62278,Berry Creek,BRCN2,-8.0,
335:CO:SNTL,05K14S,1963-09-01 00:00:00,Grand,11314.00,2100-01-01 00:00:00,US,049,08,140100010202,14010001,39.80364,-105.77786,Berthoud Summit,BTSC2,-8.0,
1182:AK:SNTL,51R01S,1980-10-01 00:00:00,Yukon-Koyukuk,640.00,2100-01-01 00:00:00,US,290,02,190901012604,19040601,66.91667,-151.53333,Bettles Field,BFLA2,-9.0,
1214:UT:SNTL,12J02S,2012-10-01 00:00:00,Tooele,6520.00,2100-01-01 00:00:00,US,045,49,160203040401,16020304,40.46182,-112.25233,Bevans Cabin,BENU1,-8.0,
336:NV:SNTL,15H04S,1978-10-01 00:00:00,Elko,6898.00,2100-01-01 00:00:00,US,007,32,170501040104,17050104,41.76168,-115.69310,Big Bend,BIGN2,-8.0,
337:NV:SNTL,17K04S,1980-10-01 00:00:00,Lander,8685.00,2100-01-01 00:00:00,US,015,32,160401070303,16040107,39.29148,-117.11506,Big Creek Sum,BCSN2,-8.0,
338:ID:SNTL,15E02S,1979-10-01 00:00:00,Valley,6560.00,2100-01-01 00:00:00,US,085,16,170602080402,17060208,44.62621,-115.79561,Big Creek Summit,BKSI1,-8.0,
339:UT:SNTL,12L07S,1978-10-01 00:00:00,Beaver,10349.00,2100-01-01 00:00:00,US,001,49,160300070202,16030007,38.30183,-112.35672,Big Flat,BGFU1,-8.0,
931:WY:SNTL,07E32S,1998-07-22 00:00:00,Sheridan,7990.00,2100-01-01 00:00:00,US,033,56,100901010103,10090101,44.57924,-107.20068,Big Goose,BGEW4,-8.0,
340:NV:SNTL,19K08S,1983-10-01 00:00:00,Washoe,8235.00,2100-01-01 00:00:00,US,031,32,160501020505,16050102,39.45500,-119.94220,Big Meadow,BMWN2,-8.0,
341:OR:SNTL,22G21S,1979-10-01 00:00:00,Jackson,6050.00,2100-01-01 00:00:00,US,029,41,171003090301,17100309,42.05257,-122.85487,Big Red Mountain,BRMO3,-8.0,
342:WY:SNTL,09G09S,1963-03-01 00:00:00,Sublette,9080.00,2100-01-01 00:00:00,US,035,56,140401040101,14040104,42.64580,-109.25965,Big Sandy Opening,BGSW4,-8.0,
343:OR:SNTL,23G15S,1979-10-01 00:00:00,Josephine,5130.00,2100-01-01 00:00:00,US,033,41,171003090105,17100309,42.07875,-123.34393,Bigelow Camp,BGCO3,-8.0,
344:OR:SNTL,22G13S,1978-10-01 00:00:00,Klamath,5280.00,2100-01-01 00:00:00,US,035,41,180102030201,18010203,42.40717,-122.26617,Billie Creek Divide,BCDO3,-8.0,
1155:NV:SNTL,14K01S,2011-10-01 00:00:00,White Pine,7537.00,2100-01-01 00:00:00,US,033,32,160600081304,16060008,39.46138,-114.64863,Bird Creek,BIRN2,-8.0,
345:CO:SNTL,07K12S,1985-09-30 00:00:00,Garfield,10964.00,2100-01-01 00:00:00,US,045,08,140100011401,14010005,39.76458,-107.35628,Bison Lake,BLSC2,-8.0,
346:MT:SNTL,13B25S,1988-10-01 00:00:00,Lake,4920.00,2100-01-01 00:00:00,US,047,30,170102120602,17010212,47.68389,-113.99901,Bisson Creek,BISM8,-8.0,
347:MT:SNTL,11E35S,1967-10-01 00:00:00,Gallatin,8170.00,2100-01-01 00:00:00,US,031,30,100200070202,10020007,44.50832,-111.12803,Black Bear,BLBM8,-8.0,
348:UT:SNTL,11L04S,1980-06-19 00:00:00,Sevier,9414.00,2100-01-01 00:00:00,US,041,49,140700030101,14070003,38.67990,-111.59765,Black Flat-U.M. Ck,BFTU1,-8.0,
1185:CO:SNTL,08M12S,2011-07-28 00:00:00,Dolores,11564.00,2100-01-01 00:00:00,US,033,08,140300020103,14030002,37.78968,-108.18376,Black Mesa,BMSC2,-8.0,
1161:CO:SNTL,05J28S,2010-10-01 00:00:00,Larimer,8980.00,2100-01-01 00:00:00,US,069,08,101900070501,10190007,40.88790,-105.66404,Black Mountain,BMNC2,-8.0,
349:MT:SNTL,13C13S,1965-10-01 00:00:00,Granite,7210.00,2100-01-01 00:00:00,US,039,30,170102020203,17010202,46.41400,-113.43095,Black Pine,BLKM8,-8.0,
1119:WY:SNTL,06H26S,2009-08-07 00:00:00,Carbon,9839.00,2100-01-01 00:00:00,US,007,56,101800020504,10180002,41.05623,-106.71400,Blackhall Mtn,BLHW4,-8.0,
1162:UT:SNTL,10J22S,2010-09-30 00:00:00,Summit,8869.00,2100-01-01 00:00:00,US,043,49,140401070303,14040107,40.95814,-110.58280,Blacks Fork Jct,BLJU1,-8.0,
1144:MT:SNTL,14B04S,2010-08-25 00:00:00,Flathead,5650.00,2100-01-01 00:00:00,US,029,30,170102080302,17010208,47.98288,-114.35430,Blacktail Mtn,BLTM8,-8.0,
350:WY:SNTL,09E13S,1979-10-01 00:00:00,Park,9780.00,2100-01-01 00:00:00,US,029,56,100800120209,10080012,44.37667,-109.79333,Blackwater,BLWW4,-8.0,
351:OR:SNTL,21D33S,1979-10-01 00:00:00,Clackamas,3650.00,2100-01-01 00:00:00,US,005,41,170800010102,17080001,45.42870,-121.85605,Blazed Alder,BLAO3,-8.0,
352:WA:SNTL,20B02S,1979-10-01 00:00:00,Chelan,4240.00,2100-01-01 00:00:00,US,007,53,170200110501,17020011,47.35037,-120.67960,Blewett Pass,BPAW1,-8.0,
353:WY:SNTL,10G02S,1978-10-01 00:00:00,Sublette,8650.00,2100-01-01 00:00:00,US,035,56,140401010402,14040101,42.96400,-110.60973,Blind Bull Sum,BBSW4,-8.0,
354:SD:SNTL,03E03S,1989-10-01 00:00:00,Pennington,6890.00,2100-01-01 00:00:00,US,103,46,101201100104,10120110,44.10772,-103.97688,Blind Park,BLPS2,-8.0,
355:MT:SNTL,13D10S,1976-10-01 00:00:00,Beaverhead,7600.00,2100-01-01 00:00:00,US,001,30,100200011002,10020001,45.16507,-113.50099,Bloody Dick,BLOM8,-8.0,
356:CA:SNTL,19L05S,1980-10-01 00:00:00,Alpine,8067.00,2100-01-01 00:00:00,US,003,06,180400120101,18040012,38.60801,-119.92455,Blue Lakes,BLAC1,-8.0,
357:OR:SNTL,18E16S,1978-10-01 00:00:00,Grant,5870.00,2100-01-01 00:00:00,US,023,41,170501160104,17050116,44.24767,-118.51722,Blue Mountain Spring,BLPO3,-8.0,
1278:UT:SNTL,12L16S,2016-10-06 00:00:00,Millard,9319.00,2100-01-01 00:00:00,US,027,49,160300051401,,38.94569,-112.15349,Bobs Hollow,,-8.0,
978:ID:SNTL,16F02S,1999-09-21 00:00:00,Boise,6340.00,2100-01-01 00:00:00,US,015,16,170501220201,17050114,43.76377,-116.09685,Bogus Basin,BOGI1,-8.0,
358:WY:SNTL,07E18S,1978-10-01 00:00:00,Sheridan,9350.00,2100-01-01 00:00:00,US,033,56,100800100102,10080010,44.67888,-107.58110,Bone Springs Div,BSDW4,-8.0,
359:ID:SNTL,14G01S,1979-10-01 00:00:00,Cassia,7500.00,2100-01-01 00:00:00,US,031,16,170402120201,17040212,42.16442,-114.19272,Bostetter R.S.,BTRI1,-8.0,
360:MT:SNTL,11C01S,1976-10-01 00:00:00,Meagher,7950.00,2100-01-01 00:00:00,US,059,30,100301030501,10030103,46.55960,-111.28973,Boulder Mountain,BOMM8,-8.0,
361:OR:SNTL,18E05S,1978-10-01 00:00:00,Baker,5850.00,2100-01-01 00:00:00,US,001,41,170502030101,17050203,44.83052,-118.18787,Bourne,BORO3,-8.0,
362:OR:SNTL,18D20S,1978-10-01 00:00:00,Umatilla,4530.00,2100-01-01 00:00:00,US,059,41,170701030401,17070103,45.36428,-118.46715,Bowman Springs,BMSO3,-8.0,
363:MT:SNTL,10D31S,1976-10-01 00:00:00,Park,6670.00,2100-01-01 00:00:00,US,067,30,100700020902,10070002,45.27190,-110.24903,Box Canyon,BOXM8,-8.0,
364:UT:SNTL,12L04S,1979-08-04 00:00:00,Sevier,9853.00,2100-01-01 00:00:00,US,041,49,160300020106,16030002,38.50809,-112.01856,Box Creek,BXCU1,-8.0,
1156:UT:SNTL,12L05S,2010-10-01 00:00:00,Piute,9228.00,2100-01-01 00:00:00,US,031,49,160300020107,16030003,38.49746,-112.00779,Box Springs,SQUU1,-8.0,
365:MT:SNTL,10D35S,1992-08-01 00:00:00,Gallatin,7320.00,2100-01-01 00:00:00,US,031,30,100700030403,10020008,45.89107,-110.93851,Brackett Creek,BRCM8,-8.0,
1154:UT:SNTL,12M14S,2011-10-01 00:00:00,Iron,10039.00,2100-01-01 00:00:00,US,021,49,160300060201,16030006,37.67994,-112.85674,Brian Head,BRHU1,-8.0,
366:UT:SNTL,11J57S,1986-09-24 00:00:00,Salt Lake,8766.00,2100-01-01 00:00:00,US,035,49,160202040201,16020204,40.59936,-111.58167,Brighton,BRIU1,-8.0,
1111:NV:SNTL,15N09S,2008-10-01 00:00:00,Clark,8890.00,2100-01-01 00:00:00,US,003,32,150100150206,15010015,36.31575,-115.69543,Bristlecone Trail,BRSN2,-8.0,
367:WY:SNTL,06H13S,1962-10-01 00:00:00,Albany,10250.00,2100-01-01 00:00:00,US,001,56,101800100502,10180010,41.36038,-106.23038,Brooklyn Lake,BKLW4,-8.0,
368:UT:SNTL,10J30S,1978-10-01 00:00:00,Duchesne,10574.00,2100-01-01 00:00:00,US,013,49,140600030604,14060003,40.58102,-110.58587,Brown Duck,BNDU1,-8.0,
1080:WA:SNTL,21A28S,2009-09-15 00:00:00,Whatcom,5830.00,2100-01-01 00:00:00,US,073,53,171100050601,17110005,48.92755,-121.19713,Brown Top,BRTW1,-8.0,
369:CO:SNTL,06K40S,1979-10-01 00:00:00,Lake,10594.00,2100-01-01 00:00:00,US,065,08,110200010101,11020001,39.08758,-106.54231,Brumley,BRMC2,-8.0,
370:ID:SNTL,16D09S,1985-10-01 00:00:00,Adams,6250.00,2100-01-01 00:00:00,US,003,16,170602100104,17060210,45.04315,-116.13253,Brundage Reservoir,BRRI1,-8.0,
371:UT:SNTL,11K31S,1978-10-01 00:00:00,Sanpete,9409.00,2100-01-01 00:00:00,US,039,49,140600090302,14060009,39.13400,-111.43722,Buck Flat,BUFU1,-8.0,
1192:UT:SNTL,10J23S,2011-11-23 00:00:00,Summit,9632.00,2100-01-01 00:00:00,US,043,49,140401070301,14040107,40.84456,-110.66068,Buck Pasture,BCZU1,-8.0,
1153:UT:SNTL,09M01S,2012-10-01 00:00:00,San Juan,8924.00,2100-01-01 00:00:00,US,037,49,140802030103,14080203,37.86943,-109.44717,Buckboard Flat,BUCU1,-8.0,
1107:WA:SNTL,23B18S,2008-06-19 00:00:00,Jefferson,4870.00,2100-01-01 00:00:00,US,031,53,171100200501,17110020,47.70860,-123.45747,Buckinghorse,BKHW1,-8.0,
938:CO:SNTL,06K16S,1998-08-10 00:00:00,Park,11166.00,2100-01-01 00:00:00,US,093,08,101900010102,10190001,39.30378,-106.11316,Buckskin Joe,BUCC2,-8.0,
373:NV:SNTL,17H02S,1980-10-01 00:00:00,Humboldt,6930.00,2100-01-01 00:00:00,US,013,32,160401090502,16040109,41.75067,-117.53182,Buckskin Lower,BKLN2,-8.0,
913:CO:SNTL,06J18S,1995-09-01 00:00:00,Grand,9249.00,2100-01-01 00:00:00,US,049,08,140100010706,14010001,40.22838,-106.59620,Buffalo Park,BUFC2,-8.0,
374:UT:SNTL,11H37S,1978-10-01 00:00:00,Rich,7987.00,2100-01-01 00:00:00,US,033,49,160102010102,16010203,41.68541,-111.41987,Bug Lake,BULU1,-8.0,
375:WA:SNTL,21C38S,1978-10-01 00:00:00,Yakima,4610.00,2100-01-01 00:00:00,US,077,53,170300020105,17030002,46.81003,-121.33058,Bumping Ridge,BMPW1,-8.0,
376:WA:SNTL,17A01S,1979-10-01 00:00:00,Pend Oreille,5000.00,2100-01-01 00:00:00,US,051,53,170102160401,17010216,48.68688,-117.17633,Bunchgrass Mdw,BGMW1,-8.0,
377:WY:SNTL,07E33S,1979-10-01 00:00:00,Sheridan,7880.00,2100-01-01 00:00:00,US,033,56,100901010202,10090101,44.78765,-107.52917,Burgess Junction,BRJW4,-8.0,
1051:CA:SNTL,19L41S,2003-10-01 00:00:00,Alpine,8129.00,2100-01-01 00:00:00,US,003,06,160502010107,16050201,38.71943,-119.89420,Burnside Lake,BSKC1,-8.0,
942:WA:SNTL,21B63S,1999-07-01 00:00:00,Pierce,4170.00,2100-01-01 00:00:00,US,053,53,171100140103,17110014,47.04440,-121.94032,Burnt Mountain,BUSW1,-8.0,
981:MT:SNTL,09D21S,2000-09-30 00:00:00,Carbon,5880.00,2100-01-01 00:00:00,US,009,30,100700060802,10070006,45.24010,-109.45961,Burnt Mtn,BMTM8,-8.0,
378:CO:SNTL,07K02S,1978-10-01 00:00:00,Rio Blanco,9317.00,2100-01-01 00:00:00,US,103,08,140500050302,14050005,39.87504,-107.59902,Burro Mountain,BURC2,-8.0,
379:WY:SNTL,09F04S,1978-10-01 00:00:00,Fremont,8750.00,2100-01-01 00:00:00,US,013,56,100800010102,10080001,43.69733,-109.67021,Burroughs Creek,BRCW4,-8.0,
1135:UT:SNTL,10J06S,2009-10-01 00:00:00,Summit,8000.00,2100-01-01 00:00:00,US,043,49,160101010105,16010101,40.98492,-110.85075,Burts Miller Ranch,MRHU1,-8.0,
380:CO:SNTL,06L11S,1979-10-01 00:00:00,Gunnison,10200.00,2100-01-01 00:00:00,US,051,08,140200010206,14020001,38.89435,-106.95327,Butte,BUTC2,-8.0,
1109:WA:SNTL,22D01S,2008-08-21 00:00:00,Skamania,2500.00,2100-01-01 00:00:00,US,059,53,170800020603,17080002,45.90362,-122.21633,Calamity,CLJW1,-8.0,
381:MT:SNTL,13D26S,1974-10-01 00:00:00,Deer Lodge,6430.00,2100-01-01 00:00:00,US,023,30,100200040801,10020004,45.88380,-113.32553,Calvert Creek,CLVM8,-8.0,
382:ID:SNTL,15F09S,1991-10-01 00:00:00,Elmore,5710.00,2100-01-01 00:00:00,US,039,16,170402200101,17040220,43.26548,-115.34530,Camas Creek Divide,CCDI1,-8.0,
383:UT:SNTL,09M02S,1985-10-01 00:00:00,San Juan,8858.00,2100-01-01 00:00:00,US,037,49,140802010301,14080203,37.81333,-109.48723,Camp Jackson,CJSU1,-8.0,
384:WY:SNTL,10E03S,1960-10-01 00:00:00,Park,7870.00,2100-01-01 00:00:00,US,029,56,100700010705,10070001,44.71961,-110.51084,Canyon,CANW4,-8.0,
385:MT:SNTL,11E29S,1966-10-01 00:00:00,Gallatin,9000.00,2100-01-01 00:00:00,US,031,30,100200080105,10020008,44.96192,-111.29403,Carrot Basin,CRRM8,-8.0,
1067:CA:SNTL,19L45S,2004-10-01 00:00:00,Alpine,8355.00,2100-01-01 00:00:00,US,003,06,180201290101,18020129,38.69270,-120.00220,Carson Pass,CXSC1,-8.0,
386:CO:SNTL,07M05S,1978-10-01 00:00:00,San Juan,8880.00,2022-10-01 00:00:00,US,111,08,140801040201,14080104,37.65083,-107.80602,Cascade,CSCC2,-8.0,
387:CO:SNTL,07M35S,1990-09-30 00:00:00,San Juan,9012.00,2100-01-01 00:00:00,US,111,08,140801040201,14080104,37.65751,-107.80287,Cascade #2,CADC2,-8.0,
1039:UT:SNTL,11J70S,2002-10-17 00:00:00,Utah,7774.00,2100-01-01 00:00:00,US,049,49,160202030505,16020203,40.28300,-111.60992,Cascade Mountain,CAMU1,-8.0,
388:OR:SNTL,22F03S,1979-10-01 00:00:00,Deschutes,5100.00,2100-01-01 00:00:00,US,017,41,170900010301,17070301,43.59042,-122.06010,Cascade Summit,CSTO3,-8.0,
389:WY:SNTL,06G01S,1962-01-01 00:00:00,Natrona,7920.00,2100-01-01 00:00:00,US,025,56,101800070804,10180007,42.73362,-106.31789,Casper Mtn.,CSPW4,-8.0,
1130:WY:SNTL,09F20S,2010-08-18 00:00:00,Fremont,8400.00,2100-01-01 00:00:00,US,013,56,100800010401,10090206,43.67480,-109.37740,Castle Creek,CCSW4,-8.0,
390:UT:SNTL,12M13S,1980-06-21 00:00:00,Iron,9607.00,2100-01-01 00:00:00,US,021,49,160300010201,16030001,37.66098,-112.74093,Castle Valley,CVYU1,-8.0,
1152:NV:SNTL,14K08S,2011-10-01 00:00:00,White Pine,10578.00,2100-01-01 00:00:00,US,033,32,160600080402,16060008,39.16337,-114.61330,Cave Mountain,CAVN2,-8.0,
1085:WA:SNTL,21C41S,2006-10-01 00:00:00,Pierce,5240.00,2100-01-01 00:00:00,US,053,53,171100140301,17080004,46.86954,-121.53430,Cayuse Pass,CAYW1,-8.0,
391:CA:SNTL,20H06S,1977-10-01 00:00:00,Modoc,7030.00,2100-01-01 00:00:00,US,049,06,180200020603,18020002,41.58233,-120.30250,Cedar Pass,CDRC1,-8.0,
